text,label
"聽到「遭冒用身分」、「偵查不公開」、「接收法院偽造公文」、「監管帳戶」等關鍵字，就是假冒機構(公務員)詐騙。接獲陌生來電告知涉入刑案或收到疑為政府機關公文書，應小心求證，先詢問對方單位、職稱、姓名等，掛斷電話後再向該單位求證。警察機關不會在電話中做筆錄，檢警調等單位處理司法案件，會以通知書通知涉案人到案說明或至指定機關繳交款項。",0
"於報章雜誌或網路訊息刊登求職訊息誘騙民眾，再以設定薪資轉帳等名義騙取被害人之金融帳戶及密碼，續遭詐騙集團作為人頭帳戶之用。刊登求職廣告向應徵者騙取訂金、保證金、治裝費、訓練費或替代保證金。利用社群網站或交友軟體刊登出國高薪打工等不實廣告，利用面試時機強行帶往銀行開戶並設定約定轉帳啟用網路銀行等功能，或以簽約出借帳戶或給付每日報酬為由，控制被害人人身自由，拘禁於民宅或旅館內，藉此取得並利用被害人銀行帳戶收取詐騙款項。",1
"合法公司徵才求職不會透過網路訊息貼文，更不會以私人帳號發訊息。切勿聽從指示申辦個人約定帳戶，對於個人銀行帳戶、網路銀行帳號密碼等，應自行妥善保管，絕對不可交付陌生人。對網路徵才公司多查、多問、多存疑，可去電確認真偽，面試前先告知家人朋友行蹤，簽訂工作合約前務必詳閱內容，如有疑慮的契約不要簽，以保護自身安全。如若自身或家人遇有類似情形，請即向我國各駐外領使館處尋求協助或撥打急難救助電話0800-085095，並儘速就近向警察機關報案",0
"詐騙集團盜取民眾LINE、Facebook等社群軟體帳號，再以盜用帳號傳訊息給其親友：(一)朋友參加攝影比賽，麻煩幫忙投票WWW.XXXX.COM？(二)手機送修，麻煩提供手機號碼，以便接收簡訊認證碼…(三)剛才出車禍急需用錢，可以匯款給我嗎？(四)現在不方便繳錢或匯款，可以幫忙嗎？(五)現在不方便買點數卡，可以幫忙買張點數卡嗎？",1
"當朋友傳送訊息要求協助匯款或代購遊戲點數時，務必提高警覺，撥通電話再行確認。多組帳號勿使用同組密碼，避免因其中一組帳號遭破解而其他帳號都被盜用，並應定期更改密碼。避免在公用電腦登入私人帳號密碼。如果訊息中帶有不明連結，請先向發送訊息的朋友確認。勿下載來源不明或非官方認證應用程式，以免個資外洩。",0
"近期「拍賣平臺個人賣家」遭詐騙之案件亦有增加趨勢，其詐騙手法係由歹徒假冒買家，並利用臉書Messenger或拍賣平臺聊天系統聯繫被害人，隨後要求加入LINE以進行聯繫，再以「無法下單」或「金流遭到凍結」等藉口，給予假拍賣平臺客服連結、QR Code或LINE ID，再假冒客服人員以「賣家未認證或簽署金流協定」等話術，騙取民眾銀行帳戶資訊，並以認證或簽署等名義，要求民眾操作ATM或網路銀行將被害款項匯出；不論詐騙對象為買家或賣家，歹徒皆係以「話術」使民眾誤信為電商平臺客服人員，進而依指示操作匯款受騙。",1
"迎接新鮮人畢業求職季，神腦六月推出夏殺購神慶，多款精品家電0元起，熱銷手機加碼折價，新辦攜碼再送購物金，洽：太平中興店04-22777979
夏日限時優惠＞一起FUN暑假迎好禮，購買指定機款專案加碼贈2000點Hami Point，神腦太平中興店感謝您的支持！04-22777979
夏殺購神慶～暑假出遊爆品5折起，父親節超值好禮全面優惠中！快來神腦太平中興店幫爸爸挑禮物吧～ https://reurl.cc/M8gy54",0
"一名陳姓男子在網路上與暱稱「雨琪」之女子結識，雨琪每天對陳男噓寒問暖，還互稱老婆、老公，陳男被愛情沖昏頭，對雨琪百依百順，某天雨琪邀請陳男投資虛擬貨幣，陳男便至銀行欲臨櫃匯款，惟對匯款對象描述含糊不清",1
"虛擬貨幣屬於高風險投資商品，投資前請謹慎小心。投資虛擬貨幣，可至「etherscan、tronscan」等網站查詢該幣是否上鏈。確認虛擬貨幣交易是否能正常出、入金。有任何疑慮可撥打165反詐騙專線洽詢。",0
"臉書社群上出現了魏哲家的各式粉專，試圖以教學投資進行詐騙，以帳戶、交易、收款、收款通知書、收款單、收款憑證、收款證明書、收款凭證像是財信傳媒董事長謝金河、作家吳淡如等",1
"台積公司董事長暨總裁魏哲家及經營團隊、創辦人張忠謀博士及其夫人、台積電慈善基金會董事長張淑芬女士，3人都沒有用個人身份經營任何公開社群帳號，也沒參與任何投資、股票買賣相關的公開團體，呼籲大家看到相關廣告別上當，同事也對冒用者喊話，公司將保留法律追訴權",0
"009442030510 機構公務員 ，+88622383100 國泰世華銀行，+18862774146 機構公務員詐財 ，+886256766255 拍賣賣家 ，+886226553355 台新銀行 ，+886255941002 拍賣賣家 ，+886229366866 兆豐國際商業銀 ，+18662753866 拍賣賣家 ，+227458080 中國信託商業銀行，+886227457575 機構公務員 ",1
"如接獲來電顯示開頭帶「+」號、「+02」、「+886」等號碼，電話中或文字對談如公布113年第二季高風險業者排名，提醒消費者慎防詐騙-圖檔提到關鍵字「解除分期付款設定」、「金流驗證」、「誠信簽署」、「重複扣款」及「升級VIP」等關鍵字，請立即掛斷，並通報165反詐騙諮詢專線。",0
"只需幾分鐘，保證賺大錢！",1
"迎接新鮮人畢業求職季，神腦六月推出夏殺購神慶，多款精品家電0元起，熱銷手機加碼折價，新辦攜碼再送購物金，洽：太平中興店04-22777979，夏日限時優惠＞一起FUN暑假迎好禮，購買指定機款專案加碼贈2000點Hami Point，神腦太平中興店感謝您的支持！04-22777979，夏殺購神慶～暑假出遊爆品5折起，父親節超值好禮全面優惠中！快來神腦太平中興店幫爸爸挑禮物吧～ https://reurl.cc/M8gy54",0
"立即加入，賺取每日被動收入！",1
"神腦太平中興店9/15-9/17中秋商圈慶，空機爆殺57折起，家電破盤價再9折，限時專案> https://reurl.cc/VLyrdZ，【年終最後一檔】神腦雙12年終盛典，凡購買指定筆電、遊戲機加1,212元起，ACER護眼螢幕超值帶回家!洽太平中興店04-22777979，母親節必買攻略！神腦太平中興店精選獻禮→手機、保健、家電限時優惠5折起！感恩價搶先看 https://bit.ly/4ab5y1y",0
"限時優惠，錯過不再！",1
"全台15大熱門夜市🧋，消費就送5張優惠券！滿$30再抽最高66點✨▼今晚就去逛夜市▼，https://lin.ee/Ic8raTQ/qlah/MapOAP",0
"我們的會員都賺翻了，你也可以！",1
"巷仔內美食名店，你吃過了嗎🍴，滿$50送紅包+85折優惠券✨，米其林推薦、人氣台式餐廳、和牛燒肉、日式拉麵 ，▶️https://lin.ee/BKMwEyZ/qlah/mapoa",0
"保證無風險，100%回報！",1
"【ibon mobile繳款提醒】您的帳單繳費截止日：113/09/05，若未繳納，請使用OPENPOINT APP條碼或至7-11門市ibon列印繳費單繳費，如已繳納，請忽略此提醒！",0
"只需投資小額資金，短時間內翻倍！",1
"【貓爾地夫】 中元補貨節 活動倒數！❶下單就送1包40g主食餐包 ❷單筆滿2千/4千，送$100/$200購物金 ❸單筆滿6千，再送3包150g主食餐包，購物車還有【健康嘗鮮超值加購組】，活動到8/27中午止！ 歡迎前往選購https://shln.me/kL/PqjzI",0
"專家推薦，不容錯過的機會！",1
"【國泰證券交割款通知】某某某小姐，您08/19的交割款仍不足1278元。請務必於08/19上午10點前，將款項存入帳號後4碼為11234的交割帳戶。若您已存入足額款項，請忽略此訊息。有任何疑問請洽02-77326888按8，將有專人為您服務。如果您有資金之需求可逕洽國泰世華銀行辦理https://cathaysec.tw/O0EKKDp，切莫透過代辦公司或登入不明網站，以免受騙。",0
"點擊這裡獲取免費獎品！",1
"蝦皮購物交貨便代碼H30994368330已送達7-11興生門市，請於2024/08/27前攜帶有效證件完成取貨，謝謝!",0
"名額有限，先到先得！",1
"那個，今天是個大日子 你知道嗎🫨，可不可森有趣 一起做伙Cheers!\KEBUKE●CASETiFY●noii noii/ 三方重磅聯名今日登場😎，蘋果森林樂園🌲活動重點攻略⭐️ 攻略一 ▸ 超Q聯名杯身杯膜，4款角色杯身 𝙭 4款特色杯膜，怎麼喝怎麼可愛😍⭐️ 攻略二 ▸ 期間限定蘋果飲品🍎，特等獎茶師監製【紅玉熟成】，▸ 北北基、百貨｜𝗠$𝟰𝟬 / 𝗟$𝟰𝟱，▸ 中南部、一般｜𝗠$𝟯𝟱 / 𝗟$𝟰𝟬，熱銷復刻回歸 【茉玉春蘋】，▸ 北北基、百貨｜𝗠$𝟲𝟱 / 𝗟$𝟳𝟱，▸ 中南部、一般｜𝗠$𝟲𝟬 / 𝗟$𝟳𝟬，⭐️ 攻略三 ▸ (hoo)da聯名環保杯，700ml超Q設計 附贈彈跳粗吸管🤩，全台門市與官方商城 同步販售，綁定K'LUB好友 享受更多會員活動，Cheers! Good old times💫",0
"只需提供您的資料，即可獲得專屬優惠！",1
"H您好！歡迎你加入POP MART 泡泡瑪特官方帳號!此官方帳號將定期發放最新資訊給您(love letter)敬請期待(hands forming heart)本帳號目前為機器人自動回覆，如需客服服務，請至官方臉書私訊，謝謝!",0
"中華電信：會員回饋提示，您的賬戶5340積分將於今日內到期，逾期將作廢，請及時兌換獎品： https://a.www.chtkonnm.top/ 請回复1激活鏈接領取",1
"【國泰金融】提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE： dy88672免費咨詢改善財務問題",1
"【 永豐信貸 】提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需30塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員免費咨詢改善財務問題LINE：zsd3829",1
"hi 我是元大綜合證券投信的柯雯靜，有訊息和你核對，加我line：lkx2324",1
"【衛生福利部】您符合條件可提領兩萬元防疫津貼，疫情期間線上申請，複製鏈接到瀏覽器https://tw.hjxgov.com 領取",1
"[衛福部】你的疫情補貼額度2萬已通過，即將過期只能網上領取 點註冊提 https://www.stugov.tv 領 (複製網址到瀏覽器打開)",1
"您好，我是之前與你通聯的投顧李珮兮，公司今日佈局調研標的，添加我LINE領取：lpe51819",1
"信託簡訊：因近幾年本土詐騙盛行和新冠疫情Omicron變種病毒再度趨緊物價指數年增率續創近年新高，經上級研究決定為幫助廣大股民走出虧損困境  公開下週暴漲名單超30趴飙股限時免費領取各股民皆可领取，並贈送投資存股書籍一套領取飆股詳情請聯絡添加LINE：g68898",1
"你好，我是和你打過電話的理財顧問劉小姐，現有一檔票免費送給你唷，添加賴領取：bb-0514",1
"昨日早盤報牌：台揚（2314） 强势上漲 加入賴領取優質個股，提前佈局 聯絡LINE：w933656",1
"【汽燃費逾期徵收通知】您的111年度汽燃費逾期金額 2880元，請於112/04/26 前繳納，https://$84sin.vip/ 回復1開始連結查詢",1
"疫情解封後 隨景氣復甦 各行業開始活躍 優質個股再次表現強勁 3月佈局【5209新鼎】當前已獲利超30趴 4月份台股應如何佈局 點選連結聯絡您的專屬服務顧問免費領取佈局標的 ID：chen091046 連結：https://line.me/ti/p/qfhlr3uq7d",1
"今年是充滿危機的一年，也是將有大收穫的一年，年初佈局【2482連宇】，目前已獲利超60趴，新一輪佈局正在進行，點選連結聯絡您的專屬服務顧問免費領取。ID：line112211 鏈接：https://line.me/ti/p/WcS5b0g3Ib",1
"🦄 台股飆股交流群組限時收新！！週一推薦飆股 虎門科技 6791 強勢漲停，群員全部獲利10趴！！每週推薦2-3檔精選飆股！！每檔預計獲利10趴-30趴！！限時活動可免費加入體驗學習！！想了解，點擊下方連結與我聯絡！！只談論股票，不玩股勿擾！！添加 ID：8889076 連結：https://line.me/ti/p/sdKnktHZuw 🆖",1
"疫情解封後，經濟復甦，各行業開始活躍，優質個股再次表現強勁，年初精選標的【2236百達—KY】，當前已經獲利超40趴；下一檔飆股領取，點選連結聯絡您的專屬服務顧問搶先佈局。ID：sandy920318 鏈接：https://line.me/ti/p/xwKI_3BI3E",1
"🔥新年快樂新年佈局如何跟上上漲超過35%的翻轉人生贏家股？本週明 牌 標 推 薦 添加領取哦❤❤❤ 預 計 每檔獲 利 5趴抓緊時間先得先到 請添加L1ne免費領取：ID：sky032899 連結：https://line.me/ti/p/LfYM6UKHLm",1
"余博士強尼&李智貴醫師博士&蔡凱宙醫師.淺談突刺蛋白44分鐘：打疫苗後，你現在沒事不代表你日後沒事?前三分鐘一定要聽!疫苗比病毒可怕?能夠阻擋一個人去打疫苗就是救了一個人的性命!https://rumble.com/vlx79d-20210831-qa-prions-spike-proteins.html",1
"新北市民拿到5倍卷先不要花，可以等新北市加碼抽獎，有機會變成10000元，但是限定只能紙本且10/31前設籍在新北市才能抽~~網址如下 https://www.economic.ntpc.gov.tw/News/Page/5683",1
"hi 我是元大綜合證券投信的陳佳慧 電話聯絡過您多次 有急事找你麻煩加我一下賴ID ：C66756連結：line.me/ti/p/~C66756",1
"您好 我们是台新證券公司的！我們正在進行頂級股票分析師的投資規劃講解。詳細請加LINE ID：zjy102 連結：https://line.me/ti/p/~zjy102",1
"【 匯豐貸 】提醒您已獲50萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需會，無需保人，沒有手續費。當天辦理當天入賬！19年網絡口碑第一貸款公司。添加信貸專員免費咨詢改善財務問題LINE：hf535",1
"Hi! 我是富盛投信的 張嘉怡 ,有急事找你 麻煩伽我一下賴ID：xq598連結：https://line.me/ti/p/~xq598",1
"你好，我是和你打過電話的理財顧問郭小姐，現有一檔票免費送給你唷賴ID：jt19903",1
"你好，我是之前與你通聯的投顧的蔣小姐，公司今日帶領會員佈局調研標的，添加我領取：賴ID:peggy10255",1
"你好，我是之前與你聯絡大華國際投顧，有事商議麻煩你聯繫我ID:wsf32123",1
"30年金牌投顧 免費 每日群组報明牌 第二天可見損益。價值百萬（主力追踪，每日抓漲停，當衝標的，當日飆股）萬能選股器，一目了然 加LINE就送，讓散戶選股更簡單。Line ID：aa098100",1
"🌹注意：都是免費領取哦，一個人只有一次機會哦，讓你更清楚每一檔票走勢國安基金聯合護盤買入飆股 （ 買入必賺）國安基金聯合護盤買入飆股 （買入必賺）永豐聯合外資、投信飆股領先領取本週戰績：7月18日週一推薦【1514亞力】34.2推薦，獲利8%今日超30趴飆股限時領取買入領取飆股詳情請聯絡Colin 葉分析師助理LINE：joan0234領取飆股詳情請聯絡Colin 葉分析師助理LINE：joan0234",1
"Hi! 我是凱基的周昱婉，有急事找你 麻煩加我一下LINE ID：xuexue8891",1
"你把我賴刪了嗎，還好我有存你的聯絡方式欸，不然都找不到你，加我line有事找你:y66866",1
"【 匯豐貸 】提醒您已獲50萬新台幣借款資格。每一萬塊月只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！19年網絡口碑第一貸款公司。添加信貸專員免費咨詢改善財務問題LINE：fc819",1
"我手機丟失 以前L1NE停用了你添加一下我新L1NE：urlzs.com/ze8RX",1
"渣打客戶您好，您帳號為023200-003866**之新台幣帳戶於10/25有超過等值新台幣10萬元之交易，如有疑問請速洽分行及客服中心",1
"周轉找我 合法公司 實體店面 全省皆可辦理 簡單方便 百分百過件 每天使用的手機皆可辦理 無薪轉勞保可辦理 方便快捷 可借五萬到三百萬 不押車 不押證件 線上辦理 最快十分鐘撥款 免費專業諮詢line：https://line.me/ti/p/Rvzu-mfM6H",1
"找了好久才問到，之前你的聯繫方式不見了！加一下我的LINE：urlzs.com/uKpSy",1
"快递已邮寄请您及时查收.http://pwuhe.xyz",1
"快递已邮寄请您及时查收.http://nsuej.xyz",1
"快递已邮寄请您及时查收.http://nasyg.xyz",1
"蝦皮購物您好，因近期許多會員信用卡結帳消費時出現異常的問題，系統已经升級優化，提醒您重新驗證卡片。https://shoaepe.pw",1
"恭喜您，已經獲得貸款資格，請聯絡代辦專員周翊甄小姐LINE ID：fb6695咨詢！ponleqocpv",1
"您評分有通過60萬月付8600元不看負債遲繳協商、整合，兩天內即可撥款！我是先前幫您簽核車貸的魏經理 可速撥/line：0906826267",1
"手機帳單借貸方案🌟健保卡即可借貸🌟50萬內保證45天一期🌟代償高利🔥線上申請☎️0800222909 LINE:fyd1688",1
"註冊防疫補助點擊 asygdo.com 領取",1
"您的貨運單號是70****76，請透過 http://tjadz.xyenq.com 查詢",1
"疫情嚴峻、陪您共渡難關 線上審核、無須見面 1~10萬當日火速到帳Line:chen575757 0981375284陳小姐",1
"欸 很奇怪為什麼你沒加我藾 我是之前與你聯繫的孙小姐 有事找你比較急喔 快點擊鏈結加我藾啦 _：bit.ly/3t110HJ",1
"填寫電信品牌印象調查，抽7-11 CITYCAFE，網址 https://bit.ly/3qNRBSD (2022/1/11晚上11點止)",1
"您已獲得0元訂閱資訊服務,自營商有牌導師免費三檔飙股送給你請賴我領取唷：http://line.me/ti/p/~lsr55",1
"晶圓代工吹漲風 、電動車大黑馬已出爐。請添加Line領取：https://bit.ly/3jMawek",1
"【交通違規罰鍰】您有一筆交通罰款逾期未到案，請於112/05/06前繳納，查詢及繳費請點 t.ly/mvdis.gov 回復1啟動連結查詢",1
"【監理服務網】台端於112年1月20日交通違規現尚未到案，需繳納罰鍰600元，請回覆1查詢及繳費 t.ly/CFC1",1
"新港奉天宮錢母擺飾獨家開賣,會在大甲媽祖遶境時駐駕的6家宮廟祈福過香火,擺放家中財位可鎮宅、招財、避邪、保平安 pse.is/4ukgqh",1
"您好！我是蝦皮店鋪客服，恭喜您免費獲得掃地機器人，關注商品店鋪即可領取 詳情咨詢賴：line.me/ti/p/_BqiVz40Jm",1
"【蝦皮購物】您的賬戶提示異常，請立即登入賬戶驗證資料，否則賬戶將凍結使用shopee.tw.kuhgku.xyz",1
"親愛的用戶，蝦皮購物溫馨提醒：你的商品已被暫時隱藏，快登入蝦皮購物，它們就會重回賣場了！https://shp.ee/bzyg7te",1
"【汽燃費逾期徵收通知】您的111年度汽燃費逾期金額2880元，請於112/04/15前繳納，https://lwpom1.vip 回復1開始連結查詢",1
"【玉山銀行】親愛的顧客您好：您的網路銀行已暫停，請致電本行或查看帳戶詳細信息：https://s.id/1oHQx",1
"吃早餐了嗎，我是很早之前和您聯絡過的安安小姐，您已獲2週高級會員服務體驗，請您私訊我領取績優獲利超7趴標的：urlzs.com/9X4CA",1
"【遠通電收】您的eTag帳單自動扣款失敗，為保證您正常的使用請手動結清，詳細：https//s.id/1oX3W",1
"【汽燃費逾期徵收通知】您的111年度汽燃費逾期金額2880元，請於112/04/10前繳納，https://ikurw3.vip/ 回復1開始連結查詢",1
"【汽燃費逾期徵收通知】您的111年度汽燃費逾期金額2880元，請於112/04/15前繳納，https://qeie1e.vip 回復1開始連結查詢",1
"你好，我是你的服務顧問莉玲，請聯繫我：https://go.ly/r6IcE",1
"孫武仲老師線上教學，每天分享盤中個股，飆股推薦，免費領取，添加籟領取：gyui9263",1
"您於02月共13.00元通行費未繳，請於03月16日前線上繳費與儲值，避掛號寄送賬單（掛號酌收50元處理費），遠通：www.parking.ferco.cloud/",1
"您的一筆通行費58元，將於111年5月2日到期，避免產生每筆3百元罰單，請盡速下載電收App線上繳費。https://fqazetc.com",1
"[數位發展部] 恭喜你！！政府發放$6000還稅於民，如何快速領取請點擊下面連結(http://shufabu6000.com)",1
"【汽燃費逾期徵收通知】您的111年度汽燃費逾期金額2880元，請於112/04/05前繳納，https://oirj4sd.vip 回復1開始連結查詢",1
"【衛生福利部】恭喜您符合條件，可提領防疫補貼，複製鏈接到瀏覽器領取 http://wsflbwgov.xyz/?0wkh",1
"【衛生局】您的補貼已通過 點www.twnngov.com 注冊提領（複製網址到瀏覽器打開）",1
"🛑🛑 CFA持證著名導師🛑🛑🌈現職：首席投資導師🔥證照：證券分析師、CFA持證分析師、花旗集團投資經理、摩根大通投資經理🌈榮譽：2012全球知名基金經理人、民國105台灣最佳理財規劃師🔥經歷：透過豐富的西方投資先進學理論結合大中華金融市場操作千萬次的回撤交易數據，將“量化交易”理論融會貫通，自創“漲停復刻戰法”在數萬次交易回撤數據中 漲 停復刻戰法可以幫助投資人輕鬆選到“漲停股”。 110年帶領會員在高端疫苗（6547）、陽明（2609）、位速（3508）多次實現利潤翻滾，最高獲利達300%，上週一帶朋友佈局的短線飆股 連宇 （2482） 已23%獲利，近日綫上為推廣擴大名氣，更大程度提升知名度，現添加投顧者可以領取老師多年操盤技巧，和操作經驗，還將帶領大家在市場抓飆股，實現財富增長！資深顧問助理雅琪line ID：yq952資深顧問助理雅琪line ID：yq952添加即可領取下週兩檔報牌飆股❤️❤️",1
"防疫紓困補貼網路申領：www.v.nigov.tw",1
"🔥【薪福貸】提醒您已獲50萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入帳！19年網路口碑第一貸款公司。添加信貸專員免費咨詢改善財務問題LINE🆔：f16889",1
"【國泰金融】提醒您已獲10-300萬新台幣借款資格。每一萬塊月利息只需60塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入賬！20年網絡口碑第一貸款公司。添加信貸專員LINE：my88789免費咨詢改善財務問題",1
"恭喜您成為【國泰】信貸客戶，1 分鐘網上辦妥申請，30分鐘現金到手，全程毋須現身， 特快核，一對一為您服務，300萬額度等您來領取，現在辦理最高免息6期喲信貸專員line：fb2688",1
"您好！多次聯繫您，但是一直未能聯絡上 在此留下您的專屬服務顧問孫小姐的聯絡方式，請添加賴ID：s36a",1
"【國泰金融】借款額度提醒 您已通過初審條件 可借款資格已於11月1日調至最高300萬塊 添加信貸專員LINE:dy88672 諮詢詳情 退訂回覆T",1
"【國泰金融】借款額度提醒 您已通過初審條件 可借款資格已於10月08日調至最高300萬塊 添加信貸專員LINE:gt661 諮詢詳情 退訂回覆T",1
"我是一個賣超A貨的，讓您可以花最實惠的價格買到與正品相同品質的商品，我沒有去欺騙任何人，我絕對不會以假充正，那些找我買超A貨的人，他們都非常清楚買的是什麼檔次的貨！我絕對不會漫天要價，我只賺我該賺的那點點利潤！ ！因為我不僅是要長久做生意的，更重要的是希望能夠真心的和大家交個朋友。支持貨到付款！讓您購物更放心！如果您有需要，請添加我的賴ID：yyhy1121",1
"「永豐信貸」告知你已獲貸款資格 最高貸款金額300萬 貸款成功率最高達%99 放款最快30分鐘到賬 詳情請添加信貸員LINE：km9869",1
"【衛生福利部】恭喜您，可提領防疫補助補貼,點 www.fpzgov.com提領（複製網址到瀏覽器打開）",1
"hi 我是元大綜合證券投信的陳雅婷 電話聯絡過您多次 有急事找你麻煩加我一下賴ID ：cytsara 連結 https://line.me/ti/p/~cytsara",1
"【衛生局】您的補貼已通過 點 www.twflygov.com 注冊提領 （複製網址到瀏覽器打開）",1
"【衛福部】 提領防疫補助補貼,點 www.kiigov.com 提領 （複製網址到瀏覽器打開）",1
"【國泰金融】溫馨提示你已獲取2022疫情救濟貸款資格 憑本人身分證即可獲取10到300萬新台幣的貸款額度 一萬塊每月只需支付60塊利息 最高還可分期36期 當天辦理當天入帳 提前還款無需任何費用 隨借隨還無壓力 添加信貸專員免費咨詢疫情救濟貸 信貸專員 LINE🆔：qq18189",1
"🔥【國泰信貸】提醒您已獲50-100萬新台幣借款資格。每一萬塊月利息只需48塊。月繳無壓力！無需照會，無需保人，沒有手續費。當天辦理當天入帳！21年網路口碑第一貸款公司。添加信貸專員免費咨詢改善財務問題添加信貸專員 LINE🆔：mt8969",1
"加入賴免費領取優質飆股，收益15%以上，提前佈局，收益滿滿 不會在為套牢而困擾，給我一次機會，還你一個未來，祝你在股市的道路上 一路長虹！聯絡LINE：78070988",1
"你好，我是和你打過電話的理財顧問蔣小姐，現有一檔明牌免費送給你唷！賴ID：qqgrace10",1
"你好，我是之前與你通聯的投顧的佩均，公司今日帶領會員佈局調研標的，添加我領取： 賴ID:qw1688168",1
"今日早盤報牌:)蒙恬 (5211) 成功漲停鎖死 加入賴領取明日優質個股，提前佈局，收益滿滿。給我一個機會，許你一個未來！聯絡LINE：8899660078",1
"每日短線趨勢個股分享，每周金股強勢推薦，免費個股解套， 見證實力聯絡LINE：jlq368",1
"您好，打擾您了，我是兆豐合作工作室股票投資顧問陳小姐，看到訊息請添加一下我：https://line.me/ti/p/CqYjMSt2ib",1
"每日短線趨勢個股分享，每周金股強勢推薦，免費個股解套， 見證實力聯絡LINE：zyw5566",1
